BNA1101;ENERTRAG Aktiengesellschaft;�ST Anklam;17389;Anklam;Demminer Landstrasse;Mecklenburg-Vorpommern;�ST Anklam;1999;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;11,6;�ST Anklam;20;E.DIS AG
BNA1458;;;76855;Annweiler;;Rheinland-Pfalz;;15.01.76;in Betrieb;Mehrere Energietr�ger;Erdgas;Schwer�l;Erdgas;Nein;Ja;28;;Mittelspannung (MS);Pfalzwerke Netz AG
BNA0026;Windpark Fehnland GmbH & Co. KG Renditefonds;;26689;Apen;;Niedersachsen;;2001;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;19,8;;HS/MS;EWE NETZ GmbH
BNA0027;Zellstoff Stendal GmbH;Zellstoff Stendal GmbH;39596;Arneburg;Goldbecker Stra�e 1;Sachsen-Anhalt;-;02.09.04;in Betrieb;Biomasse;Ablauge aus Zellstoffproduktion, Rinde/Holzreste;Heinzoel, Erdgas;Biomasse;Ja;ja;138,9;"DE0075603959600000E00000000013559
DE0075603959600000E00000000013560
DE0075603959600000E00000000013561";30;Infrastrukturbetrieb der Stadt Arneburg
BNA0028a;SachsenFonds GmbH & Co. Windpark I KG;;39596;Arneburg;;Sachsen-Anhalt;;2001;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;31,5;UW Arneburg;20;Avacon AG
BNA0028b;;;39596;Arneburg;;Sachsen-Anhalt;;2001;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;85,5;;MS;Avacon AG
BNA1331;R.D.M. Arnsberg GmbH;Reno De Medici;59821;Arnsberg;Hellefelderstr. 51;Nordrhein-Westfalen;HD - Kraftwerk;01.01.23;in Betrieb;Steinkohle;;;Steinkohle;Nein;ja;19,2;DE00018144139V592849;30;Westnetz GmbH
BNA0029;ESK Solarenergie GmbH & Co. KG;Solarpark Petzenbach;94424;Arnstorf;;Bayern;;17.06.10;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;;10,001;UW Arnstorf;21;Bayernwerk AG
BNA0030;e.disnatur Erneuerbare Energien GmbH;;6556;Artern;;Th�ringen;;2002;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12;;HS/MS;Mitteldeutsche Netzgesellschaft Strom mbH
BNA1477;PROKON Regenerative Energien GmbH;WP Ko�dorf;4886;Arzberg;;Sachsen;;2004;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;16,5;UW Arzberg;110;Mitteldeutsche Netzgesellschaft Strom mbH
BNA1732;;Windpark Korbersdorf-Seu�en;95659;Arzberg;FlSt. 519, Gemarkung Korbersdorf-Seu�en;Bayern;;2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12;;;
BNA1337b;DS Smith Paper Deutschland GmbH;Blockheizkraftwerk 1;63741;Aschaffenburg;Weichertstr. 7;Bayern;Blockheizkraftwerk 1;31.12.05;in Betrieb;Biomasse;Biogas;;Biomasse;Ja;Ja;1,1;;20;Aschaffenburger Versorgungs GmbH 
BNA1337c;DS Smith Paper Deutschland GmbH;Blockheizkraftwerk 2;63741;Aschaffenburg;Weichertstr. 7;Bayern;Blockheizkraftwerk 2;31.12.10;in Betrieb;Biomasse;Biogas;;Biomasse;Ja;Ja;0,8;;20;Aschaffenburger Versorgungs GmbH 
BNA1337e;DS Smith Paper Deutschland GmbH;GuD-Anlage;63741;Aschaffenburg;Weichertstr. 7;Bayern;GuD-Anlage;28.01.13;in Betrieb;Mehrere Energietr�ger;Erdgas;Biogas;Erdgas;Nein;Ja;47;;20;Aschaffenburger Versorgungs GmbH 
BNA1337d;DS Smith Paper Deutschland GmbH;Notstromdiesel;63741;Aschaffenburg;Weichertstr. 7;Bayern;Notstromdiesel;1991;in Betrieb;Mineral�lprodukte;Diesel;;Mineral�lprodukte;Nein;;0,5;;20;Aschaffenburger Versorgungs GmbH 
BNA1102;Bigge Energie GmbH & Co. KG;Bigge;57439;Attendorn;In der Stesse 14;Nordrhein-Westfalen;;1965;in Betrieb;Speicherwasser (ohne Pumpspeicher);;;Speicherwasser (ohne Pumpspeicher);Nein;Nein;15;Biggekraftwerk;10;BIGGE ENERGIE GmbH & Co. KG
BNA1295;AVA Abfallverwertung Augsburg GmbH;AVA GmbH;86167;Augsburg;Am Mittleren Moos 60;Bayern;AHKW;16.09.94;in Betrieb;Abfall;;;Abfall;Nein;ja;10;V0 BBC06;10;Netze Augsburg GmbH
BNA1103;UPM GmbH Werk Augsburg;UPM Augsburg;86153;Augsburg;Georg-Heindl-Strasse 4;Bayern;Dampfturbine 3;04.03.67;Vorl�ufig Stillgelegt (mit StA);Erdgas;;;Erdgas;Nein;Ja;29;;10;Stadtwerke Augsburg
BNA0033;Stadtwerke Augsburg Energie GmbH;Gasturbine;86165;Augsburg ;Beim Grenzgraben 10;Bayern;GT;15.01.04;in Betrieb;Erdgas;;;Erdgas;Nein;Ja;30,7;Station 1000;110;Netze Augsburg GmbH
BNA1104;Stadtwerke Augsburg Energie GmbH;Heizkraftwerk;86152;Augsburg ;Franziskanergasse 9;Bayern;T2;15.12.76;in Betrieb;Mehrere Energietr�ger;Erdgas;Heiz�l;Erdgas;Nein;Ja;20,4;Station 316/318;10;Netze Augsburg GmbH
BNA0034;B�rgerwindpark K�nigsmoor GmbH & Co KG;;26607;Aurich;;Niedersachsen;;2009;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;19,5;;HS/MS;EWE NETZ GmbH
BNA0035;;;26607;Aurich;;Niedersachsen;;2002;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;14,4;;HS/MS;EWE NETZ GmbH
BNA0036;;;39393;Ausleben;;Sachsen-Anhalt;;1999;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;15,9;;MS;Avacon AG
BNA0037;;;39393;Ausleben;;Sachsen-Anhalt;;2002;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12;;MS;Avacon AG
BNA0038;;;39393;Ausleben;;Sachsen-Anhalt;;1999;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;10;;MS;Avacon AG
BNA1350;;;6388;Baasdorf;;Sachsen-Anhalt;;2010;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;;12,7;;;Mitteldeutsche Netzgesellschaft Strom mbH
BNA1710;;Windpark Lahn-Dill-Bergland-Mitte;35080;Bad Endbach;Gemarkung G�nterod, Flur 28, Flurst�ck 465/329;Hessen;;2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;21,4;;;
BNA1610;;Windpark Hilsberg;35080;Bad Endbach  - Bottenhorn;;Hessen;;2014;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;15,3;;MS;EnergieNetz Mitte GmbH
BNA0042;Innwerk AG;Egglfing;94072;Bad F�ssing;Am Innwerk 13;Bayern;Egglfing;29.09.44;in Betrieb;Laufwasser;;;Laufwasser;Nein;Nein;84;Schaltanlage vor Ort;110;Bayernwerk AG
BNA1593;;Windpark Bad Hersfeld Wehneberg;36251;Bad Hersfeld;;Hessen;;2014;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;15,2;;MS;EnergieNetz Mitte GmbH
BNA1507;"Michelin Reifenwerke AG & Co. KGaA 
Standort Bad Kreuznach";;55543;Bad Kreuznach;Michelinstr. 1;Rheinland-Pfalz;;2006;in Betrieb;Erdgas;;;Erdgas;Nein;Ja;10,7;;20;Westnetz GmbH
BNA0043;EEV Erneuerbare Energien Verwaltungs GmbH Dresden;;99947;Bad Langensalza;;Th�ringen;;12.10.99;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;35,8;UW Bad Langensalza Trafo 104;HS;TEN Th�ringer Energienetze GmbH
BNA0044a;ENERCON Windpark GmbH & Co. Wiegleben KG;Windpark Wiegleben;99947;Bad Langensalza;;Th�ringen;;30.11.01;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;nein;9;;20;TEN Th�ringer Energienetze GmbH
BNA1484;EEV Erneuerbare Energien Verwaltungs GmbH Dresden;UW Langensalza II;99947;Bad Langensalza;;Th�ringen;;13.03.12;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;60,5;UW Bad Langensalza Trafo 105;110;TEN Th�ringer Energienetze GmbH
BNA0045;EnBW Energie Baden-W�rttemberg AG;Rheinkraftwerk S�ckingen;79713;Bad S�ckingen;Murger Weg 2;Baden-W�rttemberg;S�ckingen;01.01.66;in Betrieb;Laufwasser;;;Laufwasser;Nein;nein;36,8;S�ckingen bzw. CH;110;Netze BW GmbH
BNA0046;Schluchseewerk Aktiengesellschaft;S�ckingen;79713;Bad S�ckingen;Stollenweg 2;Baden-W�rttemberg;S�ckingen;21.11.66;in Betrieb;Pumpspeicher;;;Pumpspeicher;Nein;Nein;360;K�hmoos;220;Amprion/Transnet BW
BNA0047;EREM European Renewable Energy Management GmbH & Co. 8.German Wind KG;;32108;Bad Salzuflen;;Nordrhein-Westfalen;;2001;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;10,5;;MS;Westfalen Weser Netz GmbH
BNA1105;TEAG Th�ringer Energie AG;HKW Bad Salzungen;36433;Bad Salzungen;;Th�ringen;HKW Bad Salzungen;01.10.94;in Betrieb;Mehrere Energietr�ger;EG;HEL;Erdgas;Nein;Ja;9,7;UW Bad Salzungen;20;TEN Th�ringer Energienetze GmbH
BNA0048;Luftstrom Kinzig Trasse GmbH & Co. ;;63628;Bad Soden-Salm�nster;;Hessen;;2009;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;18;;HS/MS;OsthessenNetz GmbH
BNA0049;Windpark B�ren GmbH & Co. KG;;33181;Bad W�nnenberg;;Nordrhein-Westfalen;;2009;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;10;;HS;Westnetz GmbH
BNA1755;;Windpark Kittelbusch;33181;Bad W�nnenberg;"Gemarkung:Helmern; Flur 6; Flurst�ck: 1";Nordrhein-Westfalen;;2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12;;;
BNA1756;;Windpark Haaren-Leiberg IV (Erweiterung);33181;Bad W�nnenberg;"Gemarkung: Leiberg; Flur: 5; Flurst�ck: 147";Nordrhein-Westfalen;;2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;10,7;;;
BNA0050;;;39624;Badel;;Sachsen-Anhalt;;2002;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;16,5;;HS;HSN Magdeburg GmbH
BNA0051;Cargill Deutschland GmbH;KWK-Anlage Barby;39249;Barby;Monplaisirstr. 22;Sachsen-Anhalt;-;01.05.94;in Betrieb;Erdgas;;;Erdgas;Nein;Ja;17,8;�bergabe Schaltanlage E.ON;20;Avacon AG
BNA1521;Technische Werke Ludwigshafen AG;Solarkraftwerk Barderup;24988;Barderup;;Schleswig-Holstein;;2012;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;Nein;22,8;UW Barderup Schaltfeld E01 am Mast 14 im Stromkreis Flensburg - Weding gr�n;110;Schleswig-Holstein Netz AG
BNA0052;;;39179;Barleben;;Sachsen-Anhalt;;2001;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;10,8;;MS;Avacon AG
BNA1661;;B�rgerwindpark Barlt Ost;25719;Barlt;Flur 8 Flurst�ck 45/1;Schleswig-Holstein;;2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);ja;;22,2;;HS/MS;Schleswig-Holstein Netz AG
BNA1790;;BBE Windpark GmbH &Co. KG;25719;Barlt;Gemarkung Barlt ,Flur 10, Flurst�ck14;Schleswig-Holstein;;2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;15,3;;;
BNA0053;;;30890;Barsinghausen;;Niedersachsen;;2005;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;16,9;;MS;Avacon AG
BNA0054;innogy SE;RWE Innogy Brise Windparkbetriebsgesellschaft mbH;27383;Bartelsdorf;;Niedersachsen;Bartelsdorf;2009;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;32;UW Rotenburg;20;EWE NETZ GmbH
BNA1390;Solarparc AG;Barth;18356;Barth;Flur 24, Flurst�cke NN 61, NN 62, NN 63;Mecklenburg-Vorpommern;;2012;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;;10,3;;;E.DIS AG
BNA1418;;;18356;Barth;an der L23 Flur:2/1,44,46/1,41/4,1/17,36/1;Mecklenburg-Vorpommern;;2012;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;;31,6;;;Stadtwerke Barth GmbH
BNA0055;Pfleiderer Baruth GmbH;UTB;15837;Baruth/Mark;An der Birkenpfuhlheide 3;Brandenburg;;28.06.02;in Betrieb;Biomasse;Holz;"Holz;Gas";Biomasse;Ja;Ja;16;UTB/Eon-edis ;20;E.DIS AG
BNA0057;ENERTRAG Aktiengesellschaft;UW Basedow;17291;Basedow;"Gemarkung Klinkow, 
Flur 1, Flurst�ck 109";Brandenburg;UW Basedow;2009;in Betrieb;Windenergie (Onshore-Anlage);;Solar;Windenergie (Onshore-Anlage);Ja;;21,9;UW Basedow;110;E.DIS AG
BNA0058;BHT-Windpark GmbH & Co. Hollwedel KG;;27211;Bassum;;Niedersachsen;;2004;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;14;;MS;Avacon AG
BNA1384;;;18246;Baumgarten;Gemarkung Wendorf, Flur 1, Flurst�cke 39/2 & 45/3 & 47;Mecklenburg-Vorpommern;;2012;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;;11,3;;;WEMAG Netz GmbH
BNA0059b;Volkswagen AG;GuD Baunatal, VW Werksgel�nde;34225;Baunatal;;Hessen;;29.12.11;in Betrieb;Erdgas;;;Erdgas;Nein;Ja;78;UW Rengershausen;110;Avacon AG
BNA0060;Breeze Two Energy GmbH & Co. KG;;50181;Bedburg ;;Nordrhein-Westfalen;;2006;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;24;;HS/MS;Westnetz GmbH
BNA1623;innogy SE;Windpark K�nigshovener H�he;50181;Bedburg/K�nigshofen;;Nordrhein-Westfalen;;2014;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;66,6;;H�S;Amprion GmbH
BNA0061;;;15518;Beerfelde;;Brandenburg;;2002;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;10,5;;HS/MS;E.DIS AG
BNA0062;Sonae Arauco Beeskow GmbH;BHW Beeskow;15848;Beeskow;;Brandenburg;;2001;in Betrieb;Biomasse;;;Biomasse;Ja;Ja;18,3;Umspannwerk Beeskow der E.DIS AG;110;E.DIS AG
BNA0063;Breeze Four Energy GmbH & Co. KG;Beeskow-Neuendorf;15848;Beeskow;;Brandenburg;Beeskow-Neuendorf;2002;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;30;UW Birkholz;110;E.DIS AG
BNA1106;Breeze Four Energy GmbH & Co. KG;Beeskow ? Hufenfeld;15848;Beeskow;;Brandenburg;Beeskow ? Hufenfeld;2003;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;14;UW Birkholz;110;E.DIS AG
BNA1794;;BWP3 Behrendorf;25850;Behrendorf;9;Schleswig-Holstein;;2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;16,1;;;
BNA1799;;WP Beidenfleth;25573;Beidenfleth;57;Schleswig-Holstein;;2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,2;;;
BNA1596;;Windpark Beiersdorf-Freudenberg;16259;Beiersdorf-Freudenberg;;Brandenburg;;2014;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;16;;HS;E.DIS AG
BNA1546;STAWAG Energie GmbH;Windpark Beltheim II;56920;Beltheim;;Rheinland-Pfalz;;2013;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;16;Lingerhahn;20-30;Westnetz GmbH
BNA1597;Trianel Onshore Windkraftwerk Bendorf-Oersdorf GmbH & Co. KG;Windpark Bendorf-Oersdorf;25557;Bendorf-Oersdorf;"Fl. 6; FlSt. 80/1";Schleswig-Holstein;;2014;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;27,5;;HS/MS;Schleswig-Holstein Netz AG
BNA1720;;Windpark Berg;82335;Berg;19;Bayern;;2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12;;;
BNA0064;Windpark Berge-Kleeste GmbH & Co. KG;Windpark Berge / Kleeste;19348;Berge;;Brandenburg;;01.09.03;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;28,8;;H�S/HS;50Hertz Transmission GmbH
BNA0705;RWE Power AG;Niederau�em;50129;Bergheim;;Nordrhein-Westfalen;D;31.05.68;in Betrieb;Braunkohle;;;Braunkohle;Nein;Nein;297;Brauweiler;220;Amprion GmbH
