Butendiek;WPD AG;Offshore;;Nordsee;288,0;;2015;WEA;Wind (O)
Calau;CEE Windpark Calau GmbH & Co. KG;BB;03205;Calau;100,0;;2008-2015;WEA;Wind (L)
Chemnitz Nord II A+B/30;eins energie in sachsen GmbH & Co. KG;SN;09114;Chemnitz;134,0;320,0;1988 / 1995;HKW;HEL, Braunkohle
Chemnitz Nord II C/30;eins energie in sachsen GmbH & Co. KG;SN;09114;Chemnitz;100,0;130,0;1990 (2010);HKW;Braunkohle
Dahme;Windpark Dahme GmbH & Co. KG;BB;15926;Kemlitz;150,5;;2003 (2011);WEA;Wind (L)
DanTysk;DanTysk Offshore Wind GmbH;Offshore;;Nordsee;288,0;;2015;WEA;Wind (O)
Darmstadt;Entega AG;HE;64293;Darmstadt;100,0;;2012;GT;Erdgas
Dormagen;RWE Power AG / Currenta GmbH;NW;41539;Dormagen;597,1;480,0;1972 (2000);IKW / GuD;Erdgas
Dresden Nossener Brücke;DREWAG Stadtwerke Dresden GmbH;SN;01159;Dresden;270,0;455,0;1995;HKW / GuD;Erdgas
Druxberge;Umspannwerke Druxberge GmbH & Co. KG;ST;39365;Druxberge;116,7;;2003;WEA;Wind (L)
Duisburg-Hamborn 4;ThyssenKrupp Stahl AG (TKS);NW;47166 ;Duisburg;108,0;n.b.;1976;HKW;Gichtgas
Duisburg-Hamborn 5;RWE / TKS;NW;47166 ;Duisburg;240,7;150,0;2003;HKW / GuD;Gichtgas
Duisburg-Ruhrort 3;ThyssenKrupp Stahl AG (TKS);NW;47166 ;Duisburg;100,0;n.b.;1963;IKW;Gichtgas
Duisburg-Ruhrort 4;ThyssenKrupp Stahl AG (TKS);NW;47166 ;Duisburg;180,0;n.b.;1969;IKW;Gichtgas
Duisburg-Walsum 9;Steag GmbH;NW;47179;Duisburg;410,0;295,0;1988;HKW;Steinkohle
Duisburg-Walsum 10;Steag GmbH;NW;47179;Duisburg;790,0;n.b.;2013;HKW;Steinkohle
