aerodyn,aerodyn aM 1.5/77,AerodynaM1577,1500.0,3.0,11.0,25.0,75.0,77.1,4668.7,3.0
aerodyn,aerodyn aM 1.5/83,AerodynaM1583,1500.0,3.0,11.0,25.0,75.0,82.6,5358.5,3.0
aerodyn,aerodyn aM 1.5/87,AerodynaM1587,1500.0,3.0,11.0,25.0,75.0,86.6,5890.0,3.0
aerodyn,aerodyn aM 1.5/92,AerodynaM1592,1500.0,3.0,10.0,25.0,75.0,92.0,6647.6,3.0
aerodyn,aerodyn SCD nezzy2 twin-rotor,AerodynSCDnezzy2twinrotor,15000.0,,,,,150.0,35342.0,4.0
aerodyn,aerodyn aM 2.0/120,AerodynaM20120,2000.0,3.0,,22.0,,120.0,11309.0,3.0
aerodyn,aerodyn aM 2.3/120,AerodynaM23120,2300.0,3.0,,22.0,,120.0,11309.0,2.0
aerodyn,aerodyn aM 2.5/96,AerodynaM2596,2500.0,4.0,12.0,25.0,80.0,96.1,7253.0,3.0
aerodyn,aerodyn aM 2.5/103,AerodynaM25103,2500.0,4.0,11.0,25.0,80.0,102.9,8316.0,3.0
aerodyn,aerodyn aM 2.5/110,AerodynaM25110,2500.0,4.0,11.0,25.0,80.0,110.0,9503.0,3.0
aerodyn,aerodyn aM 2.5/118,AerodynaM25118,2500.0,4.0,10.0,25.0,80.0,118.3,10991.6,3.0
aerodyn,aerodyn SCD 2.5/130 light wind,AerodynSCD25130lightwind,2500.0,,,,100.0,130.0,13273.0,3.0
aerodyn,aerodyn SCD 3.0/115 basic,AerodynSCD30115basic,3000.0,3.0,11.5,20.0,85.0,115.0,10386.9,2.0
aerodyn,aerodyn aM 3.0/134,AerodynaM30134,3000.0,3.0,10.0,22.0,,133.6,14018.5,3.0
aerodyn,aerodyn aM 3.0/145,AerodynaM30145,3000.0,3.0,,25.0,,145.0,16512.9,3.0
aerodyn,aerodyn aM 3.2/140,AerodynaM32140,3200.0,3.0,,25.0,,140.0,15393.0,3.0
aerodyn,aerodyn SCD 3.5/100 nearshore,AerodynSCD35100nearshore,3500.0,,,,75.0,100.0,7854.0,2.0
aerodyn,aerodyn aM 4.0/140,AerodynaM40140,4000.0,3.0,,25.0,,140.4,15481.8,3.0
aerodyn,aerodyn aM 4.2/147,AerodynaM42147,4200.0,3.0,,22.0,,147.0,16971.6,3.0
aerodyn,aerodyn aM 4.5/126,AerodynaM45126,4500.0,3.0,,25.0,,126.4,12548.0,3.0
aerodyn,aerodyn aM 5.0/130,AerodynaM50130,5000.0,3.5,12.0,25.0,100.0,130.0,13273.0,3.0
aerodyn,aerodyn aM 5.0/139,AerodynaM50139,5000.0,4.0,11.8,25.0,100.0,139.0,15175.0,3.0
aerodyn,aerodyn aM 5.7/163,AerodynaM57163,5700.0,3.0,,22.0,,163.0,20867.0,1.0
aerodyn,aerodyn aM 6.0/139,AerodynaM60139,6000.0,3.0,,25.0,,139.0,15174.6,3.0
aerodyn,aerodyn SCD 6.0/140 advanced,AerodynSCD60140advanced,6000.0,3.0,13.0,22.0,100.0,140.0,15393.8,2.0
aerodyn,aerodyn aM 6.0/154,AerodynaM60154,6000.0,3.0,,25.0,,154.0,18626.5,3.0
aerodyn,aerodyn SCD 8.0/168,AerodynSCD80168,8000.0,3.5,11.5,25.0,100.0,168.0,22167.0,2.0
aerodyn,aerodyn aeolus 11,Aerodynaeolus11,30.0,3.5,10.5,25.0,18.0,11.7,113.0,2.0
aerodyn,aerodyn aeolus 15,Aerodynaeolus15,26.0,,,,18.0,15.0,176.7,3.0
AERODAN,AERODAN 75/15,AERODAN7515,75.0,5.0,12.0,23.0,23.0,17.0,227.0,3.0
Aerolite,Aerolite A-5,AeroliteA5,5.0,3.6,11.2,17.9,11.75,5.0,19.6,3.0
Aerolite,Aerolite A-7,AeroliteA7,12.5,3.5,15.6,25.0,24.5,7.6,45.6,3.0
Aerolite,Aerolite A-10,AeroliteA10,10.0,,,,30.5,9.1,78.0,2.0
Aerolite,Aerolite A-11,AeroliteA11,30.0,3.5,13.4,25.0,27.45,11.0,94.5,2.0
Aeronautica,Aeronautica 29-225,Aeronautica29225,225.0,4.0,13.5,25.0,40.0,29.0,664.0,3.0
Aeronautica,Aeronautica 33-225,Aeronautica33225,225.0,4.0,11.5,22.0,40.0,33.0,855.0,3.0
Aeronautica,Aeronautica 47-500,Aeronautica47500,500.0,3.0,12.0,25.0,56.666666666666664,47.0,1735.0,3.0
Aeronautica,Aeronautica 47-750,Aeronautica47750,750.0,3.5,14.5,25.0,57.5,47.0,1735.0,3.0
Aeronautica,Aeronautica 54-750,Aeronautica54750,750.0,3.5,12.5,20.0,57.5,54.0,2289.0,3.0
AeroTech A/S,AeroTech A/S AEROTECH 15-75,AeroTechASAEROTECH1575,75.0,4.0,12.5,25.0,22.5,15.2,182.0,3.0
AGILE WIND POWER,AGILE WIND POWER Vertical Sky ® A32,AGILEWINDPOWERVerticalSkyA32,750.0,,12.0,,78.0,32.0,1728.0,3.0
AGILE WIND POWER,AGILE WIND POWER Vertical Sky ® A42,AGILEWINDPOWERVerticalSkyA42,600.0,,,,78.0,42.0,2268.0,3.0
AGILE WIND POWER,AGILE WIND POWER Vertical Sky ® A45,AGILEWINDPOWERVerticalSkyA45,1500.0,,,,92.0,45.0,3420.0,3.0
AIR,AIR 19/100,AIR19100,100.0,3.5,14.0,24.0,35.0,19.0,284.0,3.0
AIRCON,AIRCON 10 S,AIRCON10S,9.8,3.5,11.0,25.0,30.0,7.1,39.6,3.0
AIRCON,AIRCON 10S,AIRCON10S,100.0,2.5,10.0,25.0,,,,
AIRCON,AIRCON 30,AIRCON30,29.8,2.5,11.0,25.0,33.0,13.1,135.1,3.0
Alizéo,Alizéo 1000/60,Alizéo100060,1000.0,3.6,12.5,20.0,50.0,60.0,2827.0,3.0
Allgaier,Allgaier WE 10/G6,AllgaierWE10G6,6.0,2.5,9.0,,9.89,10.0,78.0,3.0
Allgaier,Allgaier StGW-34,AllgaierStGW34,100.0,3.7,9.5,,22.3,34.0,872.0,2.0
